"food_name","unit","gram"
"Kerang","½ gelas","90"
"Ikan Lemuru","1 potong sedang","35"
"Putih Telur Ayam","2 ½ butir","65"
"Rebon Kering","2 sendok makan","10"
"Bebek","1 Potong Sedang","50"
"Belut","1 ½ Potong Kecil","40"
"Kornet Daging Sapi","½ Potong","35"
"Ayam dengan Kulit","½ Potong","50"
"Daging Babi","1 Potong Sedang*","45"
"Ham","1 Potong Sedang*","55"
"Sardencis","1 Potong Sedang","50"
"Sosis","1 ½ Potong Kecil","40"
"Kuning Telur Ayam","1 Butir*","35"
"Telur Bebek","1 Butir*","50"
